,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2019-02-28 14:50:00+08:00,[0.01384374],"[[0.01486151]
 [0.01463584]
 [0.01384374]]",,0.9991097813690648,1.0
0,2019-03-01 14:50:00+08:00,[0.00945956],"[[0.01065074]
 [0.01022869]
 [0.00945956]]",,0.9991097813690648,1.0
0,2019-03-04 14:50:00+08:00,[0.00769846],"[[0.01129077]
 [0.01012864]
 [0.00769846]]",,0.9991097813690648,1.0
0,2019-03-05 14:50:00+08:00,[0.00466556],"[[0.01624115]
 [0.01000598]
 [0.00466556]]",,0.9991097813690648,1.0
0,2019-03-06 14:50:00+08:00,[0.00908236],"[[0.00874906]
 [0.00881146]
 [0.00908236]]",,0.9991097813690648,1.0
0,2019-03-07 14:50:00+08:00,[0.01056449],"[[0.01051435]
 [0.01061349]
 [0.01056449]]",,0.9991097813690648,1.0
0,2019-03-08 14:50:00+08:00,[0.00634204],"[[0.00622162]
 [0.0066282 ]
 [0.00634204]]",,0.9991097813690648,1.0
0,2019-03-11 14:50:00+08:00,[-0.00053913],"[[ 0.00018952]
 [-0.00019247]
 [-0.00053913]]",,0.0,0.0
0,2019-03-12 14:50:00+08:00,[-0.00794942],"[[-0.00860325]
 [-0.00835244]
 [-0.00794942]]",,0.0,-1.0
0,2019-03-13 14:50:00+08:00,[-0.00426688],"[[-0.00162352]
 [-0.00253217]
 [-0.00426688]]",,0.0,0.0
0,2019-03-14 14:50:00+08:00,[0.00162408],"[[0.00145669]
 [0.00148508]
 [0.00162408]]",,0.0,0.0
0,2019-03-15 14:50:00+08:00,[0.00255731],"[[0.00173418]
 [0.00238536]
 [0.00255731]]",,0.0,0.0
0,2019-03-18 14:50:00+08:00,[0.00349312],"[[0.002031  ]
 [0.0027154 ]
 [0.00349312]]",,0.9991097813690648,1.0
0,2019-03-19 14:50:00+08:00,[0.00208813],"[[0.001462  ]
 [0.00159279]
 [0.00208813]]",,0.0,0.0
0,2019-03-20 14:50:00+08:00,[0.00621862],"[[0.00599842]
 [0.00637734]
 [0.00621862]]",,0.9991097813690648,1.0
0,2019-03-21 14:50:00+08:00,[0.0028984],"[[0.00858434]
 [0.00731369]
 [0.0028984 ]]",,0.9991097813690648,1.0
0,2019-03-22 14:50:00+08:00,[-0.00175774],"[[-0.00085232]
 [-0.00202123]
 [-0.00175774]]",,0.0,0.0
0,2019-03-25 14:50:00+08:00,[-0.00187045],"[[ 0.00125107]
 [-0.00047709]
 [-0.00187045]]",,0.0,0.0
0,2019-03-26 14:50:00+08:00,[0.00115029],"[[-0.0063213 ]
 [-0.00455404]
 [ 0.00115029]]",,0.0,0.0
0,2019-03-27 14:50:00+08:00,[0.00685966],"[[-0.00733054]
 [-0.00063306]
 [ 0.00685966]]",,0.0,0.0
0,2019-03-28 14:50:00+08:00,[0.00651919],"[[-0.00174485]
 [ 0.00286975]
 [ 0.00651919]]",,0.0,0.0
0,2019-03-29 14:50:00+08:00,[0.00633009],"[[0.00510205]
 [0.00907391]
 [0.00633009]]",,0.9991097813690648,1.0
0,2019-04-01 14:50:00+08:00,[-0.00379631],"[[ 0.00982676]
 [ 0.00083308]
 [-0.00379631]]",,0.0,0.0
