,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-03-02 14:50:00+08:00,[-0.00206167],"[[-0.00178707]
 [-0.00196378]
 [-0.00206167]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[-0.00256538],"[[-0.00240927]
 [-0.00260126]
 [-0.00256538]]",,0.0,-1.0
0,2020-03-04 14:50:00+08:00,[0.00291396],"[[0.00265491]
 [0.00272225]
 [0.00291396]]",,0.9992355592796115,1.0
0,2020-03-05 14:50:00+08:00,[-0.00109408],"[[-0.00124434]
 [-0.00110404]
 [-0.00109408]]",,0,0.0
0,2020-03-06 14:50:00+08:00,[0.00020119],"[[0.00029435]
 [0.00028259]
 [0.00020119]]",,0,0.0
0,2020-03-09 14:50:00+08:00,[0.00094715],"[[0.00128024]
 [0.00115919]
 [0.00094715]]",,0,0.0
0,2020-03-10 14:50:00+08:00,[-9.3750656e-05],"[[ 2.9823184e-04]
 [ 1.6076118e-04]
 [-9.3750656e-05]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[-0.00175116],"[[-0.00116352]
 [-0.00152386]
 [-0.00175116]]",,0,0.0
0,2020-03-12 14:50:00+08:00,[-0.00311576],"[[-0.00311254]
 [-0.00323058]
 [-0.00311576]]",,0.0,-1.0
0,2020-03-13 14:50:00+08:00,[-0.00184147],"[[-0.00220323]
 [-0.00210104]
 [-0.00184147]]",,0,0.0
0,2020-03-16 14:50:00+08:00,[-0.00481896],"[[-0.0058338 ]
 [-0.00537886]
 [-0.00481896]]",,0.0,-1.0
0,2020-03-17 14:50:00+08:00,[-0.00105098],"[[-0.00218935]
 [-0.00178966]
 [-0.00105098]]",,0,0.0
0,2020-03-18 14:50:00+08:00,[-0.0041449],"[[-0.00599555]
 [-0.0052004 ]
 [-0.0041449 ]]",,0.0,-1.0
0,2020-03-19 14:50:00+08:00,[-0.00539203],"[[-0.00760462]
 [-0.00672932]
 [-0.00539203]]",,0.0,-1.0
0,2020-03-20 14:50:00+08:00,[-0.00489092],"[[-0.00838391]
 [-0.00682932]
 [-0.00489092]]",,0.0,-1.0
0,2020-03-23 14:50:00+08:00,[0.00315827],"[[-2.4337657e-03]
 [ 9.3262643e-05]
 [ 3.1582713e-03]]",,0,0.0
0,2020-03-24 14:50:00+08:00,[-0.00157039],"[[-0.00791497]
 [-0.00491886]
 [-0.00157039]]",,0,0.0
0,2020-03-25 14:50:00+08:00,[0.00247694],"[[-0.00359354]
 [-0.00043437]
 [ 0.00247694]]",,0,0.0
0,2020-03-26 14:50:00+08:00,[0.00374132],"[[-0.00101304]
 [ 0.00153127]
 [ 0.00374132]]",,0,0.0
0,2020-03-27 14:50:00+08:00,[0.01380274],"[[0.00894526]
 [0.01153844]
 [0.01380274]]",,0.9992355592796115,1.0
0,2020-03-30 14:50:00+08:00,[0.00877932],"[[0.00631809]
 [0.00790014]
 [0.00877932]]",,0.9992355592796115,1.0
0,2020-03-31 14:50:00+08:00,[0.00845054],"[[0.0086417 ]
 [0.00875532]
 [0.00845054]]",,0.9992355592796115,1.0
0,2020-04-01 14:50:00+08:00,[0.00788118],"[[0.00777536]
 [0.00802804]
 [0.00788118]]",,0.9992355592796115,1.0
0,2020-04-02 14:50:00+08:00,[0.00801917],"[[0.00902625]
 [0.00872895]
 [0.00801917]]",,0.9992355592796115,1.0
0,2020-04-03 14:50:00+08:00,[0.00348954],"[[0.00406391]
 [0.00376989]
 [0.00348954]]",,0.9992355592796115,1.0
0,2020-04-07 14:50:00+08:00,[0.00448886],"[[0.00545002]
 [0.00498692]
 [0.00448886]]",,0.9992355592796115,1.0
0,2020-04-08 14:50:00+08:00,[0.00408554],"[[0.00588572]
 [0.00502253]
 [0.00408554]]",,0.9992355592796115,1.0
0,2020-04-09 14:50:00+08:00,[0.00355698],"[[0.00461178]
 [0.00408098]
 [0.00355698]]",,0.9992355592796115,1.0
0,2020-04-10 14:50:00+08:00,[6.467849e-05],"[[1.5797578e-03]
 [8.3141029e-04]
 [6.4678490e-05]]",,0,0.0
0,2020-04-13 14:50:00+08:00,[0.00255809],"[[0.00399434]
 [0.00327145]
 [0.00255809]]",,0.9992355592796115,1.0
0,2020-04-14 14:50:00+08:00,[-5.8606267e-05],"[[ 1.3054498e-03]
 [ 6.2271580e-04]
 [-5.8606267e-05]]",,0,0.0
0,2020-04-15 14:50:00+08:00,[-0.00390288],"[[-0.00237067]
 [-0.00316649]
 [-0.00390288]]",,0.0,-1.0
0,2020-04-16 14:50:00+08:00,[-0.00030957],"[[ 0.0009836 ]
 [ 0.00031711]
 [-0.00030957]]",,0,0.0
0,2020-04-17 14:50:00+08:00,[-0.00248131],"[[-0.00119011]
 [-0.00188633]
 [-0.00248131]]",,0,0.0
0,2020-04-20 14:50:00+08:00,[-0.0032801],"[[-0.00230749]
 [-0.0028223 ]
 [-0.0032801 ]]",,0.0,-1.0
0,2020-04-21 14:50:00+08:00,[0.00143968],"[[0.00213915]
 [0.00173313]
 [0.00143968]]",,0,0.0
0,2020-04-22 14:50:00+08:00,[-0.00090434],"[[ 8.4426254e-05]
 [-4.2543560e-04]
 [-9.0433657e-04]]",,0,0.0
0,2020-04-23 14:50:00+08:00,[-0.00632928],"[[-0.0057238 ]
 [-0.00604541]
 [-0.00632928]]",,0.0,-1.0
0,2020-04-24 14:50:00+08:00,[-0.00161503],"[[-0.00129115]
 [-0.00150734]
 [-0.00161503]]",,0,0.0
0,2020-04-27 14:50:00+08:00,[-0.00237832],"[[-0.00217429]
 [-0.00226653]
 [-0.00237832]]",,0.0,-1.0
0,2020-04-28 14:50:00+08:00,[-0.00235698],"[[-0.00226571]
 [-0.00234099]
 [-0.00235698]]",,0.0,-1.0
0,2020-04-29 14:50:00+08:00,[-0.00141674],"[[-0.00140751]
 [-0.00144437]
 [-0.00141674]]",,0,0.0
0,2020-04-30 14:50:00+08:00,[-9.080395e-05],"[[-1.1392683e-04]
 [-1.3367087e-04]
 [-9.0803951e-05]]",,0,0.0
0,2020-05-06 14:50:00+08:00,[0.00349064],"[[0.00326513]
 [0.00338053]
 [0.00349064]]",,0.9992355592796115,1.0
0,2020-05-07 14:50:00+08:00,[0.00115219],"[[0.00094384]
 [0.00102559]
 [0.00115219]]",,0,0.0
0,2020-05-08 14:50:00+08:00,[0.00132198],"[[0.00130929]
 [0.00132748]
 [0.00132198]]",,0,0.0
0,2020-05-11 14:50:00+08:00,[0.00238317],"[[0.00248825]
 [0.0024717 ]
 [0.00238317]]",,0.9992355592796115,1.0
0,2020-05-12 14:50:00+08:00,[-0.00107484],"[[-0.00091289]
 [-0.00094874]
 [-0.00107484]]",,0,0.0
0,2020-05-13 14:50:00+08:00,[6.0014427e-06],"[[2.7723238e-04]
 [1.5909597e-04]
 [6.0014427e-06]]",,0,0.0
0,2020-05-14 14:50:00+08:00,[0.00121889],"[[0.00165028]
 [0.00141943]
 [0.00121889]]",,0,0.0
0,2020-05-15 14:50:00+08:00,[0.00252542],"[[0.00286454]
 [0.00270197]
 [0.00252542]]",,0.9992355592796115,1.0
0,2020-05-18 14:50:00+08:00,[-0.00127068],"[[-0.0009967 ]
 [-0.00113019]
 [-0.00127068]]",,0,0.0
0,2020-05-19 14:50:00+08:00,[0.00135389],"[[0.00154191]
 [0.00140184]
 [0.00135389]]",,0,0.0
0,2020-05-20 14:50:00+08:00,[-0.00313813],"[[-0.00298005]
 [-0.00306414]
 [-0.00313813]]",,0.0,-1.0
0,2020-05-21 14:50:00+08:00,[-0.00201545],"[[-0.00184571]
 [-0.00192232]
 [-0.00201545]]",,0,0.0
0,2020-05-22 14:50:00+08:00,[5.440414e-05],"[[3.8076937e-04]
 [2.3833290e-04]
 [5.4404140e-05]]",,0,0.0
0,2020-05-25 14:50:00+08:00,[0.00042019],"[[0.00057715]
 [0.00049771]
 [0.00042019]]",,0,0.0
0,2020-05-26 14:50:00+08:00,[-0.0003867],"[[-0.00058595]
 [-0.00053588]
 [-0.0003867 ]]",,0,0.0
0,2020-05-27 14:50:00+08:00,[-0.00101504],"[[-0.0014602 ]
 [-0.00130074]
 [-0.00101504]]",,0,0.0
0,2020-05-28 14:50:00+08:00,[0.00091743],"[[0.00034244]
 [0.00058234]
 [0.00091743]]",,0,0.0
0,2020-05-29 14:50:00+08:00,[-0.00022935],"[[-0.00090755]
 [-0.00058632]
 [-0.00022935]]",,0,0.0
0,2020-06-01 14:50:00+08:00,[-0.00388665],"[[-0.00470047]
 [-0.00429094]
 [-0.00388665]]",,0.0,-1.0
