,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-03-02 14:50:00+08:00,[0.00187678],"[[-0.00154843]
 [ 0.00020408]
 [ 0.00187678]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[0.00197089],"[[-0.00074181]
 [ 0.00030603]
 [ 0.00197089]]",,0,0.0
0,2020-03-04 14:50:00+08:00,[0.00103148],"[[-1.9428879e-03]
 [-4.2565167e-05]
 [ 1.0314770e-03]]",,0,0.0
0,2020-03-05 14:50:00+08:00,[0.00392003],"[[0.00369854]
 [0.00396444]
 [0.00392003]]",,0.9992355592796115,1.0
0,2020-03-06 14:50:00+08:00,[0.00463037],"[[0.00469435]
 [0.00490217]
 [0.00463037]]",,0.9992355592796115,1.0
0,2020-03-09 14:50:00+08:00,[0.00409337],"[[0.00610856]
 [0.00540776]
 [0.00409337]]",,0.9992355592796115,1.0
0,2020-03-10 14:50:00+08:00,[-0.00061759],"[[ 0.00093529]
 [ 0.00026221]
 [-0.00061759]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[-0.00031136],"[[ 0.00143496]
 [ 0.00012841]
 [-0.00031136]]",,0,0.0
0,2020-03-12 14:50:00+08:00,[-0.00416899],"[[-0.00337381]
 [-0.00415779]
 [-0.00416899]]",,0.0,-1.0
0,2020-03-13 14:50:00+08:00,[-0.00421808],"[[-0.0035012 ]
 [-0.0039317 ]
 [-0.00421808]]",,0.0,-1.0
0,2020-03-16 14:50:00+08:00,[-0.00460047],"[[-0.00492261]
 [-0.00486622]
 [-0.00460047]]",,0.0,-1.0
0,2020-03-17 14:50:00+08:00,[-0.00965761],"[[-0.00905987]
 [-0.00977194]
 [-0.00965761]]",,0.0,-1.0
0,2020-03-18 14:50:00+08:00,[-0.01332979],"[[-0.0141712 ]
 [-0.01378728]
 [-0.01332979]]",,0.0,-1.0
0,2020-03-19 14:50:00+08:00,[-0.01895634],"[[-0.0210793 ]
 [-0.02056558]
 [-0.01895634]]",,0.0,-1.0
0,2020-03-20 14:50:00+08:00,[-0.01263536],"[[-0.01623506]
 [-0.01474067]
 [-0.01263536]]",,0.0,-1.0
0,2020-03-23 14:50:00+08:00,[-0.00508918],"[[-0.01119104]
 [-0.0082434 ]
 [-0.00508918]]",,0.0,-1.0
0,2020-03-24 14:50:00+08:00,[-0.00590522],"[[-0.01269915]
 [-0.00919162]
 [-0.00590522]]",,0.0,-1.0
0,2020-03-25 14:50:00+08:00,[-0.00431663],"[[-0.0090083 ]
 [-0.00646364]
 [-0.00431663]]",,0.0,-1.0
0,2020-03-26 14:50:00+08:00,[0.00517693],"[[0.00179405]
 [0.00373838]
 [0.00517693]]",,0,0.0
0,2020-03-27 14:50:00+08:00,[0.00616118],"[[0.00387798]
 [0.00530842]
 [0.00616118]]",,0.9992355592796115,1.0
