,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-02-28 14:50:00+08:00,[-0.00406083],"[[ 0.00259546]
 [-0.00143661]
 [-0.00406083]]",,0,0.0
0,2020-03-02 14:50:00+08:00,[-0.00168471],"[[ 0.00703316]
 [ 0.00247829]
 [-0.00168471]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[-0.01216373],"[[-0.00814585]
 [-0.0108796 ]
 [-0.01216373]]",,-0.03833861895577397,-1.0
0,2020-03-04 14:50:00+08:00,[-0.00656494],"[[-0.00793773]
 [-0.00891432]
 [-0.00656494]]",,-0.03833861895577397,-1.0
0,2020-03-05 14:50:00+08:00,[-0.00051994],"[[-0.00495632]
 [-0.00414494]
 [-0.00051994]]",,0,0.0
0,2020-03-06 14:50:00+08:00,[0.00813885],"[[-0.00448306]
 [ 0.00260361]
 [ 0.00813885]]",,0,0.0
0,2020-03-09 14:50:00+08:00,[0.0026588],"[[-0.00455025]
 [-0.00197257]
 [ 0.0026588 ]]",,0,0.0
0,2020-03-10 14:50:00+08:00,[0.0016171],"[[0.00518721]
 [0.00629735]
 [0.0016171 ]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[0.00965556],"[[0.01951311]
 [0.01597024]
 [0.00965556]]",,0.021005713439834168,1.0
0,2020-03-12 14:50:00+08:00,[-0.00023411],"[[ 0.00982321]
 [ 0.00445622]
 [-0.00023411]]",,0,0.0
0,2020-03-13 14:50:00+08:00,[0.00178839],"[[0.00713251]
 [0.00469448]
 [0.00178839]]",,0,0.0
0,2020-03-16 14:50:00+08:00,[-0.0084283],"[[-0.00458682]
 [-0.00585932]
 [-0.0084283 ]]",,-0.03833861895577397,-1.0
0,2020-03-17 14:50:00+08:00,[-0.00568477],"[[-0.0084079 ]
 [-0.00664299]
 [-0.00568477]]",,-0.03833861895577397,-1.0
0,2020-03-18 14:50:00+08:00,[-0.00356219],"[[-0.00583313]
 [-0.00597277]
 [-0.00356219]]",,-0.03833861895577397,-1.0
0,2020-03-19 14:50:00+08:00,[0.00099988],"[[0.0016632 ]
 [0.00045977]
 [0.00099988]]",,0,0.0
0,2020-03-20 14:50:00+08:00,[0.00141972],"[[-0.01004219]
 [-0.00217172]
 [ 0.00141972]]",,0,0.0
0,2020-03-23 14:50:00+08:00,[-0.00196954],"[[-0.01056294]
 [-0.00056633]
 [-0.00196954]]",,0,0.0
0,2020-03-24 14:50:00+08:00,[-0.01170049],"[[-0.01220316]
 [-0.00813563]
 [-0.01170049]]",,-0.03833861895577397,-1.0
0,2020-03-25 14:50:00+08:00,[-0.00150631],"[[-0.01573264]
 [-0.0076213 ]
 [-0.00150631]]",,0,0.0
0,2020-03-26 14:50:00+08:00,[0.00522961],"[[-0.00875328]
 [-0.00415902]
 [ 0.00522961]]",,0,0.0
0,2020-03-27 14:50:00+08:00,[0.00918835],"[[-0.00418781]
 [ 0.00407818]
 [ 0.00918835]]",,0,0.0
