,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-03-02 14:50:00+08:00,[-0.00184425],"[[-0.00474979]
 [-0.00339137]
 [-0.00184425]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[0.00106467],"[[-0.00115801]
 [-0.00012205]
 [ 0.00106467]]",,0,0.0
0,2020-03-04 14:50:00+08:00,[-0.00131683],"[[-0.00442073]
 [-0.00256575]
 [-0.00131683]]",,0,0.0
0,2020-03-05 14:50:00+08:00,[0.0050764],"[[0.00415027]
 [0.00496481]
 [0.0050764 ]]",,0.9992355592796115,1.0
0,2020-03-06 14:50:00+08:00,[0.00258918],"[[0.00261928]
 [0.00279051]
 [0.00258918]]",,0.9992355592796115,1.0
0,2020-03-09 14:50:00+08:00,[0.0036403],"[[0.00586841]
 [0.0050383 ]
 [0.0036403 ]]",,0.9992355592796115,1.0
0,2020-03-10 14:50:00+08:00,[-0.00253656],"[[ 2.2883341e-03]
 [-2.2627413e-05]
 [-2.5365576e-03]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[-0.00299407],"[[-0.00092717]
 [-0.0022129 ]
 [-0.00299407]]",,0,0.0
0,2020-03-12 14:50:00+08:00,[-0.00495593],"[[-0.00366628]
 [-0.00470386]
 [-0.00495593]]",,0.0,-1.0
0,2020-03-13 14:50:00+08:00,[-0.0034547],"[[-0.00311856]
 [-0.003351  ]
 [-0.0034547 ]]",,0.0,-1.0
0,2020-03-16 14:50:00+08:00,[-0.00707263],"[[-0.00882235]
 [-0.00794628]
 [-0.00707263]]",,0.0,-1.0
0,2020-03-17 14:50:00+08:00,[-0.00618607],"[[-0.00810329]
 [-0.00729262]
 [-0.00618607]]",,0.0,-1.0
0,2020-03-18 14:50:00+08:00,[-0.01480213],"[[-0.01702901]
 [-0.01616379]
 [-0.01480213]]",,0.0,-1.0
0,2020-03-19 14:50:00+08:00,[-0.01575387],"[[-0.01733777]
 [-0.01701004]
 [-0.01575387]]",,0.0,-1.0
0,2020-03-20 14:50:00+08:00,[-0.00866709],"[[-0.01297893]
 [-0.01097353]
 [-0.00866709]]",,0.0,-1.0
0,2020-03-23 14:50:00+08:00,[-0.00349334],"[[-0.00986079]
 [-0.00666867]
 [-0.00349334]]",,0.0,-1.0
0,2020-03-24 14:50:00+08:00,[-0.00171575],"[[-0.00607223]
 [-0.00379166]
 [-0.00171575]]",,0,0.0
0,2020-03-25 14:50:00+08:00,[0.00482245],"[[0.0002201 ]
 [0.00278645]
 [0.00482245]]",,0,0.0
0,2020-03-26 14:50:00+08:00,[0.00362797],"[[-0.00042778]
 [ 0.00187873]
 [ 0.00362797]]",,0,0.0
0,2020-03-27 14:50:00+08:00,[0.00862011],"[[0.00601973]
 [0.00774835]
 [0.00862011]]",,0.9992355592796115,1.0
0,2020-03-30 14:50:00+08:00,[0.0110759],"[[0.0113109 ]
 [0.01158718]
 [0.0110759 ]]",,0.9992355592796115,1.0
