,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-02-28 14:50:00+08:00,[0.00596632],"[[0.00132282]
 [0.003689  ]
 [0.00596632]]",,0,0.0
0,2020-03-02 14:50:00+08:00,[0.00647455],"[[0.00059815]
 [0.0060855 ]
 [0.00647455]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[0.01020964],"[[0.00588863]
 [0.0077152 ]
 [0.01020964]]",,0.9992355592796115,1.0
0,2020-03-04 14:50:00+08:00,[0.0059046],"[[0.00387591]
 [0.00631852]
 [0.0059046 ]]",,0.9992355592796115,1.0
0,2020-03-05 14:50:00+08:00,[0.00308128],"[[0.00850684]
 [0.00574169]
 [0.00308128]]",,0.9992355592796115,1.0
0,2020-03-06 14:50:00+08:00,[0.00486939],"[[0.0079039 ]
 [0.0061166 ]
 [0.00486939]]",,0.9992355592796115,1.0
0,2020-03-09 14:50:00+08:00,[-0.00171152],"[[ 0.00236866]
 [-0.00053973]
 [-0.00171152]]",,0,0.0
0,2020-03-10 14:50:00+08:00,[0.00163146],"[[-0.00388463]
 [-0.00194579]
 [ 0.00163146]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[0.001612],"[[-0.00201502]
 [-0.00048486]
 [ 0.001612  ]]",,0,0.0
0,2020-03-12 14:50:00+08:00,[0.00291712],"[[-0.00561977]
 [-0.00302715]
 [ 0.00291712]]",,0,0.0
0,2020-03-13 14:50:00+08:00,[0.00338185],"[[-0.00284638]
 [ 0.00139958]
 [ 0.00338185]]",,0,0.0
0,2020-03-16 14:50:00+08:00,[0.00813106],"[[0.00045719]
 [0.00701864]
 [0.00813106]]",,0,0.0
0,2020-03-17 14:50:00+08:00,[0.00819666],"[[0.00119546]
 [0.01112991]
 [0.00819666]]",,0,0.0
0,2020-03-18 14:50:00+08:00,[0.00737842],"[[0.00539181]
 [0.00791494]
 [0.00737842]]",,0.9992355592796115,1.0
0,2020-03-19 14:50:00+08:00,[-0.00056782],"[[-0.02592216]
 [-0.01873968]
 [-0.00056782]]",,0,0.0
0,2020-03-20 14:50:00+08:00,[0.00610618],"[[0.00467406]
 [0.00454064]
 [0.00610618]]",,0.9992355592796115,1.0
0,2020-03-23 14:50:00+08:00,[0.00648748],"[[0.00846984]
 [0.00776513]
 [0.00648748]]",,0.9992355592796115,1.0
0,2020-03-24 14:50:00+08:00,[0.01037652],"[[-0.00131498]
 [ 0.00325499]
 [ 0.01037652]]",,0,0.0
0,2020-03-25 14:50:00+08:00,[0.00706135],"[[0.01011927]
 [0.00821331]
 [0.00706135]]",,0.9992355592796115,1.0
0,2020-03-26 14:50:00+08:00,[0.00767335],"[[0.00851455]
 [0.00794297]
 [0.00767335]]",,0.9992355592796115,1.0
0,2020-03-27 14:50:00+08:00,[0.00954851],"[[0.01221075]
 [0.0105685 ]
 [0.00954851]]",,0.9992355592796115,1.0
