,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2019-02-28 14:50:00+08:00,[0.02593173],"[[0.02476112]
 [0.02550122]
 [0.02593173]]",,0.9991097813690648,1.0
0,2019-03-01 14:50:00+08:00,[0.00921611],"[[0.01036393]
 [0.00976692]
 [0.00921611]]",,0.9991097813690648,1.0
0,2019-03-04 14:50:00+08:00,[0.00929522],"[[0.0107037 ]
 [0.00994818]
 [0.00929522]]",,0.9991097813690648,1.0
0,2019-03-05 14:50:00+08:00,[0.00374361],"[[0.00445957]
 [0.00407365]
 [0.00374361]]",,0.9991097813690648,1.0
0,2019-03-06 14:50:00+08:00,[0.00822595],"[[0.0090472 ]
 [0.00864846]
 [0.00822595]]",,0.9991097813690648,1.0
0,2019-03-07 14:50:00+08:00,[0.00498701],"[[0.00595521]
 [0.00542555]
 [0.00498701]]",,0.9991097813690648,1.0
0,2019-03-08 14:50:00+08:00,[0.00377198],"[[0.00491025]
 [0.00432539]
 [0.00377198]]",,0.9991097813690648,1.0
0,2019-03-11 14:50:00+08:00,[-0.00710157],"[[-0.00429572]
 [-0.00579414]
 [-0.00710157]]",,0.0,-1.0
0,2019-03-12 14:50:00+08:00,[-0.01116402],"[[-0.00681224]
 [-0.0092213 ]
 [-0.01116402]]",,0.0,-1.0
0,2019-03-13 14:50:00+08:00,[-0.00829468],"[[-0.00665609]
 [-0.00766318]
 [-0.00829468]]",,0.0,-1.0
0,2019-03-14 14:50:00+08:00,[-0.00606912],"[[-0.00590751]
 [-0.00598853]
 [-0.00606912]]",,0.0,-1.0
0,2019-03-15 14:50:00+08:00,[-0.00484711],"[[-0.0050517 ]
 [-0.00518783]
 [-0.00484711]]",,0.0,-1.0
0,2019-03-18 14:50:00+08:00,[-0.00119894],"[[-0.00469283]
 [-0.00328464]
 [-0.00119894]]",,0.0,0.0
0,2019-03-19 14:50:00+08:00,[0.00354937],"[[0.00201351]
 [0.00297611]
 [0.00354937]]",,0.9991097813690648,1.0
0,2019-03-20 14:50:00+08:00,[0.00739124],"[[0.00640646]
 [0.00728485]
 [0.00739124]]",,0.9991097813690648,1.0
0,2019-03-21 14:50:00+08:00,[0.00196545],"[[0.00228073]
 [0.00224913]
 [0.00196545]]",,0.0,0.0
0,2019-03-22 14:50:00+08:00,[0.00626542],"[[0.00694987]
 [0.00670798]
 [0.00626542]]",,0.9991097813690648,1.0
0,2019-03-25 14:50:00+08:00,[0.0002581],"[[0.00127676]
 [0.0007813 ]
 [0.0002581 ]]",,0.0,0.0
0,2019-03-26 14:50:00+08:00,[0.00090716],"[[0.00171859]
 [0.00073837]
 [0.00090716]]",,0.0,0.0
0,2019-03-27 14:50:00+08:00,[-0.00182558],"[[-0.00255024]
 [-0.00245507]
 [-0.00182558]]",,0.0,0.0
0,2019-03-28 14:50:00+08:00,[-0.00025238],"[[-0.00092105]
 [-0.00022902]
 [-0.00025238]]",,0.0,0.0
0,2019-03-29 14:50:00+08:00,[-0.00155175],"[[-0.0017348 ]
 [-0.00134735]
 [-0.00155175]]",,0.0,0.0
0,2019-04-01 14:50:00+08:00,[-0.00147283],"[[-0.00156632]
 [-0.00170171]
 [-0.00147283]]",,0.0,0.0
0,2019-04-02 14:50:00+08:00,[0.0032441],"[[0.00323657]
 [0.00344411]
 [0.0032441 ]]",,0.9991097813690648,1.0
0,2019-04-03 14:50:00+08:00,[0.00618648],"[[0.00661072]
 [0.00658888]
 [0.00618648]]",,0.9991097813690648,1.0
0,2019-04-04 14:50:00+08:00,[0.00953054],"[[0.00915614]
 [0.00955009]
 [0.00953054]]",,0.9991097813690648,1.0
0,2019-04-08 14:50:00+08:00,[0.00347527],"[[0.00464933]
 [0.00408733]
 [0.00347527]]",,0.9991097813690648,1.0
0,2019-04-09 14:50:00+08:00,[0.00369494],"[[0.00517367]
 [0.00440543]
 [0.00369494]]",,0.9991097813690648,1.0
0,2019-04-10 14:50:00+08:00,[0.0016781],"[[0.00319591]
 [0.00247558]
 [0.0016781 ]]",,0.0,0.0
0,2019-04-11 14:50:00+08:00,[0.00274961],"[[0.00406854]
 [0.00326468]
 [0.00274961]]",,0.9991097813690648,1.0
0,2019-04-12 14:50:00+08:00,[-9.9658966e-05],"[[ 9.8983198e-04]
 [ 2.5629066e-04]
 [-9.9658966e-05]]",,0.0,0.0
0,2019-04-15 14:50:00+08:00,[-0.00051965],"[[-0.0004943 ]
 [-0.0005849 ]
 [-0.00051965]]",,0.0,0.0
0,2019-04-16 14:50:00+08:00,[-0.00202767],"[[-0.00253488]
 [-0.00247436]
 [-0.00202767]]",,0.0,-1.0
0,2019-04-17 14:50:00+08:00,[0.00131315],"[[0.00079105]
 [0.00115051]
 [0.00131315]]",,0.0,0.0
0,2019-04-18 14:50:00+08:00,[0.00129044],"[[0.00105982]
 [0.00117852]
 [0.00129044]]",,0.0,0.0
0,2019-04-19 14:50:00+08:00,[0.00266443],"[[0.00185425]
 [0.0023117 ]
 [0.00266443]]",,0.0,0.0
0,2019-04-22 14:50:00+08:00,[0.00351797],"[[0.0029459 ]
 [0.00323319]
 [0.00351797]]",,0.9991097813690648,1.0
0,2019-04-23 14:50:00+08:00,[0.00033565],"[[-3.8467161e-04]
 [-3.1113625e-05]
 [ 3.3565052e-04]]",,0.0,0.0
0,2019-04-24 14:50:00+08:00,[0.00205036],"[[0.00145605]
 [0.00170532]
 [0.00205036]]",,0.0,0.0
0,2019-04-25 14:50:00+08:00,[0.00209728],"[[0.00128343]
 [0.00149295]
 [0.00209728]]",,0.0,0.0
