,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-03-02 14:50:00+08:00,[-0.00744168],"[[ 0.00118526]
 [ 0.00019084]
 [-0.00080927]
 [-0.00182275]
 [-0.00285925]
 [-0.00396478]
 [-0.00501024]
 [-0.00597271]
 [-0.00679399]
 [-0.00744168]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[-0.00608316],"[[-0.00280247]
 [-0.00374343]
 [-0.00445332]
 [-0.0049814 ]
 [-0.00549857]
 [-0.00592382]
 [-0.00621032]
 [-0.00630312]
 [-0.00622335]
 [-0.00608316]]",,0.0,-1.0
0,2020-03-04 14:50:00+08:00,[-0.00583077],"[[-5.2279793e-05]
 [-1.1546444e-03]
 [-2.1779500e-03]
 [-3.3611367e-03]
 [-4.4147838e-03]
 [-5.2424138e-03]
 [-5.7101040e-03]
 [-6.1122593e-03]
 [-6.0949503e-03]
 [-5.8307722e-03]]",,0,0.0
0,2020-03-05 14:50:00+08:00,[-0.00420533],"[[-0.00072738]
 [-0.00176691]
 [-0.00287208]
 [-0.00368444]
 [-0.00431604]
 [-0.00466264]
 [-0.00474705]
 [-0.00461435]
 [-0.00443307]
 [-0.00420533]]",,0,0.0
0,2020-03-06 14:50:00+08:00,[-0.00538946],"[[-0.00197679]
 [-0.00278202]
 [-0.00355806]
 [-0.0042306 ]
 [-0.00479065]
 [-0.00527159]
 [-0.00560067]
 [-0.00572956]
 [-0.0056624 ]
 [-0.00538946]]",,0,0.0
0,2020-03-09 14:50:00+08:00,[-0.00301159],"[[-0.00207775]
 [-0.00249623]
 [-0.00279561]
 [-0.00298241]
 [-0.00313349]
 [-0.00324112]
 [-0.00332877]
 [-0.00334603]
 [-0.00323614]
 [-0.00301159]]",,0.0,-1.0
0,2020-03-10 14:50:00+08:00,[-0.00812193],"[[-0.0016862 ]
 [-0.00227305]
 [-0.0029544 ]
 [-0.00349872]
 [-0.00414214]
 [-0.00490829]
 [-0.00579645]
 [-0.00668915]
 [-0.00745393]
 [-0.00812193]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[-0.00268502],"[[-0.00289229]
 [-0.0031195 ]
 [-0.00324308]
 [-0.00323699]
 [-0.00317088]
 [-0.00308422]
 [-0.00297125]
 [-0.00287795]
 [-0.00278811]
 [-0.00268502]]",,0.0,-1.0
0,2020-03-12 14:50:00+08:00,[-0.00379994],"[[-0.00189919]
 [-0.00239173]
 [-0.00288229]
 [-0.00332989]
 [-0.00368782]
 [-0.0039353 ]
 [-0.00408553]
 [-0.00413041]
 [-0.00402417]
 [-0.00379994]]",,0,0.0
0,2020-03-13 14:50:00+08:00,[-0.00340689],"[[-0.00298701]
 [-0.00345865]
 [-0.00395073]
 [-0.0043864 ]
 [-0.00468663]
 [-0.00482816]
 [-0.00484084]
 [-0.00457073]
 [-0.00405817]
 [-0.00340689]]",,0.0,-1.0
