,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-03-02 14:50:00+08:00,[0.00175965],"[[-0.00125246]
 [ 0.00029867]
 [ 0.00175965]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[-0.0009049],"[[-0.00315946]
 [-0.00224644]
 [-0.0009049 ]]",,0,0.0
0,2020-03-04 14:50:00+08:00,[0.00159954],"[[-0.00104041]
 [ 0.00063306]
 [ 0.00159954]]",,0,0.0
0,2020-03-05 14:50:00+08:00,[0.002783],"[[0.00264048]
 [0.00288523]
 [0.002783  ]]",,0.9992355592796115,1.0
0,2020-03-06 14:50:00+08:00,[0.00477828],"[[0.00531373]
 [0.00526464]
 [0.00477828]]",,0.9992355592796115,1.0
0,2020-03-09 14:50:00+08:00,[0.00480897],"[[0.00643422]
 [0.00592588]
 [0.00480897]]",,0.9992355592796115,1.0
0,2020-03-10 14:50:00+08:00,[-0.00070082],"[[ 7.130578e-04]
 [ 9.667128e-05]
 [-7.008165e-04]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[0.0009166],"[[0.00301333]
 [0.00156214]
 [0.0009166 ]]",,0,0.0
0,2020-03-12 14:50:00+08:00,[0.00119261],"[[0.00172452]
 [0.00108926]
 [0.00119261]]",,0,0.0
0,2020-03-13 14:50:00+08:00,[-0.00380566],"[[-0.0028486 ]
 [-0.00343489]
 [-0.00380566]]",,0.0,-1.0
0,2020-03-16 14:50:00+08:00,[-0.00891276],"[[-0.00955054]
 [-0.00935854]
 [-0.00891276]]",,0.0,-1.0
0,2020-03-17 14:50:00+08:00,[-0.01331447],"[[-0.0125973 ]
 [-0.01322008]
 [-0.01331447]]",,0.0,-1.0
0,2020-03-18 14:50:00+08:00,[-0.01270553],"[[-0.0147686 ]
 [-0.01383287]
 [-0.01270553]]",,0.0,-1.0
0,2020-03-19 14:50:00+08:00,[-0.02210066],"[[-0.02369457]
 [-0.02357784]
 [-0.02210066]]",,0.0,-1.0
0,2020-03-20 14:50:00+08:00,[-0.01168332],"[[-0.01514263]
 [-0.01361702]
 [-0.01168332]]",,0.0,-1.0
0,2020-03-23 14:50:00+08:00,[-0.00308437],"[[-0.00829879]
 [-0.00578639]
 [-0.00308437]]",,0.0,-1.0
0,2020-03-24 14:50:00+08:00,[-0.00406423],"[[-0.00971652]
 [-0.00668807]
 [-0.00406423]]",,0.0,-1.0
0,2020-03-25 14:50:00+08:00,[-0.00101314],"[[-0.0046253 ]
 [-0.00263574]
 [-0.00101314]]",,0,0.0
0,2020-03-26 14:50:00+08:00,[0.00181261],"[[-0.00164614]
 [ 0.00030088]
 [ 0.00181261]]",,0,0.0
0,2020-03-27 14:50:00+08:00,[0.009382],"[[0.00622146]
 [0.00818542]
 [0.009382  ]]",,0.9992355592796115,1.0
0,2020-03-30 14:50:00+08:00,[0.01101235],"[[0.01050974]
 [0.01113583]
 [0.01101235]]",,0.9992355592796115,1.0
0,2020-03-31 14:50:00+08:00,[0.00463137],"[[0.00564189]
 [0.00545533]
 [0.00463137]]",,0.9992355592796115,1.0
0,2020-04-01 14:50:00+08:00,[0.00469541],"[[0.00524565]
 [0.00512129]
 [0.00469541]]",,0.9992355592796115,1.0
0,2020-04-02 14:50:00+08:00,[0.00533806],"[[0.00600468]
 [0.00581672]
 [0.00533806]]",,0.9992355592796115,1.0
0,2020-04-03 14:50:00+08:00,[0.00392547],"[[0.00635982]
 [0.00520596]
 [0.00392547]]",,0.9992355592796115,1.0
0,2020-04-07 14:50:00+08:00,[-0.00028948],"[[ 0.00196324]
 [ 0.00090859]
 [-0.00028948]]",,0,0.0
0,2020-04-08 14:50:00+08:00,[0.00035863],"[[0.00264815]
 [0.00156344]
 [0.00035863]]",,0,0.0
0,2020-04-09 14:50:00+08:00,[0.00062083],"[[0.00277121]
 [0.00165014]
 [0.00062083]]",,0,0.0
0,2020-04-10 14:50:00+08:00,[0.0011729],"[[0.00342622]
 [0.0023372 ]
 [0.0011729 ]]",,0,0.0
0,2020-04-13 14:50:00+08:00,[0.00043647],"[[0.0021585 ]
 [0.00127433]
 [0.00043647]]",,0,0.0
0,2020-04-14 14:50:00+08:00,[-0.00129894],"[[-8.5201114e-05]
 [-7.3712319e-04]
 [-1.2989417e-03]]",,0,0.0
0,2020-04-15 14:50:00+08:00,[-0.00096132],"[[ 6.4443797e-05]
 [-5.0672889e-04]
 [-9.6132234e-04]]",,0,0.0
0,2020-04-16 14:50:00+08:00,[-0.00393575],"[[-0.00173686]
 [-0.00283366]
 [-0.00393575]]",,0,0.0
0,2020-04-17 14:50:00+08:00,[-0.00397873],"[[-0.00275294]
 [-0.00337991]
 [-0.00397873]]",,0.0,-1.0
0,2020-04-20 14:50:00+08:00,[-0.00137141],"[[-0.00031421]
 [-0.0008496 ]
 [-0.00137141]]",,0,0.0
0,2020-04-21 14:50:00+08:00,[-0.00163466],"[[-0.0008341 ]
 [-0.00133412]
 [-0.00163466]]",,0,0.0
0,2020-04-22 14:50:00+08:00,[-0.001408],"[[-0.00066085]
 [-0.00102609]
 [-0.001408  ]]",,0,0.0
0,2020-04-23 14:50:00+08:00,[0.00146254],"[[0.00103207]
 [0.00127624]
 [0.00146254]]",,0,0.0
0,2020-04-24 14:50:00+08:00,[0.00308938],"[[0.00384872]
 [0.00357154]
 [0.00308938]]",,0.9992355592796115,1.0
0,2020-04-27 14:50:00+08:00,[3.4958124e-05],"[[1.1615269e-03]
 [7.6561794e-04]
 [3.4958124e-05]]",,0,0.0
0,2020-04-28 14:50:00+08:00,[0.00036372],"[[0.00104523]
 [0.00072153]
 [0.00036372]]",,0,0.0
0,2020-04-29 14:50:00+08:00,[-0.00303111],"[[-0.00126697]
 [-0.00222271]
 [-0.00303111]]",,0,0.0
0,2020-04-30 14:50:00+08:00,[0.00157108],"[[0.00213865]
 [0.00184658]
 [0.00157108]]",,0,0.0
0,2020-05-06 14:50:00+08:00,[-0.00409313],"[[-0.00298457]
 [-0.00350468]
 [-0.00409313]]",,0.0,-1.0
0,2020-05-07 14:50:00+08:00,[0.00084589],"[[0.00093833]
 [0.0009725 ]
 [0.00084589]]",,0,0.0
0,2020-05-08 14:50:00+08:00,[0.00356837],"[[0.00487837]
 [0.00432448]
 [0.00356837]]",,0.9992355592796115,1.0
0,2020-05-11 14:50:00+08:00,[0.00329845],"[[0.0037642 ]
 [0.0036285 ]
 [0.00329845]]",,0.9992355592796115,1.0
0,2020-05-12 14:50:00+08:00,[0.00237691],"[[0.00312248]
 [0.00278218]
 [0.00237691]]",,0.9992355592796115,1.0
0,2020-05-13 14:50:00+08:00,[-0.00158448],"[[ 0.00012713]
 [-0.00072972]
 [-0.00158448]]",,0,0.0
0,2020-05-14 14:50:00+08:00,[0.00100778],"[[0.00174782]
 [0.00140349]
 [0.00100778]]",,0,0.0
0,2020-05-15 14:50:00+08:00,[-0.00300226],"[[-0.00110667]
 [-0.00200394]
 [-0.00300226]]",,0,0.0
0,2020-05-18 14:50:00+08:00,[-0.00609928],"[[-0.0041836 ]
 [-0.00513823]
 [-0.00609928]]",,0.0,-1.0
0,2020-05-19 14:50:00+08:00,[-0.00411875],"[[-0.00263784]
 [-0.003403  ]
 [-0.00411875]]",,0.0,-1.0
0,2020-05-20 14:50:00+08:00,[-0.00334955],"[[-0.00193843]
 [-0.0026896 ]
 [-0.00334955]]",,0,0.0
0,2020-05-21 14:50:00+08:00,[-0.00254455],"[[-0.00167521]
 [-0.00207486]
 [-0.00254455]]",,0,0.0
0,2020-05-22 14:50:00+08:00,[-0.00230663],"[[-0.00225545]
 [-0.00227895]
 [-0.00230663]]",,0.0,-1.0
0,2020-05-25 14:50:00+08:00,[-0.01244097],"[[-0.01022409]
 [-0.0115069 ]
 [-0.01244097]]",,0.0,-1.0
0,2020-05-26 14:50:00+08:00,[-0.00092563],"[[-0.00186628]
 [-0.00154522]
 [-0.00092563]]",,0,0.0
