,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-03-02 14:50:00+08:00,[-0.00171709],"[[-0.00514997]
 [-0.00347064]
 [-0.00171709]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[0.00063353],"[[-0.00144523]
 [-0.00048817]
 [ 0.00063353]]",,0,0.0
0,2020-03-04 14:50:00+08:00,[-0.00115505],"[[-0.00327683]
 [-0.00201974]
 [-0.00115505]]",,0,0.0
0,2020-03-05 14:50:00+08:00,[0.00677346],"[[0.0062902 ]
 [0.00703478]
 [0.00677346]]",,0.9992355592796115,1.0
0,2020-03-06 14:50:00+08:00,[0.00309094],"[[0.00452914]
 [0.00422571]
 [0.00309094]]",,0.9992355592796115,1.0
0,2020-03-09 14:50:00+08:00,[0.00046516],"[[0.00346724]
 [0.00236375]
 [0.00046516]]",,0,0.0
0,2020-03-10 14:50:00+08:00,[-0.00030786],"[[ 0.00391503]
 [ 0.00200885]
 [-0.00030786]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[-0.00351762],"[[-0.001539  ]
 [-0.00273187]
 [-0.00351762]]",,0,0.0
0,2020-03-12 14:50:00+08:00,[-0.003473],"[[-0.00276161]
 [-0.00341757]
 [-0.003473  ]]",,0.0,-1.0
0,2020-03-13 14:50:00+08:00,[-0.00234496],"[[-0.00192419]
 [-0.00218106]
 [-0.00234496]]",,0,0.0
0,2020-03-16 14:50:00+08:00,[-0.00278619],"[[-0.00326631]
 [-0.0029873 ]
 [-0.00278619]]",,0.0,-1.0
0,2020-03-17 14:50:00+08:00,[-0.00620114],"[[-0.00752068]
 [-0.00703065]
 [-0.00620114]]",,0.0,-1.0
0,2020-03-18 14:50:00+08:00,[-0.01400845],"[[-0.01590852]
 [-0.01533723]
 [-0.01400845]]",,0.0,-1.0
0,2020-03-19 14:50:00+08:00,[-0.01726126],"[[-0.01944341]
 [-0.01897918]
 [-0.01726126]]",,0.0,-1.0
0,2020-03-20 14:50:00+08:00,[-0.01184992],"[[-0.01874551]
 [-0.01565151]
 [-0.01184992]]",,0.0,-1.0
0,2020-03-23 14:50:00+08:00,[-0.00656743],"[[-0.01046317]
 [-0.0085485 ]
 [-0.00656743]]",,0.0,-1.0
0,2020-03-24 14:50:00+08:00,[-0.00785665],"[[-0.01270272]
 [-0.01032478]
 [-0.00785665]]",,0.0,-1.0
0,2020-03-25 14:50:00+08:00,[-0.0020567],"[[-0.00634611]
 [-0.00404822]
 [-0.0020567 ]]",,0.0,-1.0
0,2020-03-26 14:50:00+08:00,[0.00758491],"[[0.00478175]
 [0.00654655]
 [0.00758491]]",,0.9992355592796115,1.0
0,2020-03-27 14:50:00+08:00,[0.0108677],"[[0.00867904]
 [0.0101809 ]
 [0.0108677 ]]",,0.9992355592796115,1.0
0,2020-03-30 14:50:00+08:00,[0.00940835],"[[0.00939952]
 [0.00975335]
 [0.00940835]]",,0.9992355592796115,1.0
