,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-02-28 14:50:00+08:00,[0.00619246],"[[0.00174447]
 [0.00378426]
 [0.00619246]]",,0,0.0
0,2020-03-02 14:50:00+08:00,[0.00881058],"[[-0.00131653]
 [ 0.0051472 ]
 [ 0.00881058]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[0.00524738],"[[0.00379741]
 [0.00460935]
 [0.00524738]]",,0.9992355592796115,1.0
0,2020-03-04 14:50:00+08:00,[0.00643243],"[[0.00621015]
 [0.00775949]
 [0.00643243]]",,0.9992355592796115,1.0
0,2020-03-05 14:50:00+08:00,[0.00196306],"[[0.00721804]
 [0.0049743 ]
 [0.00196306]]",,0,0.0
0,2020-03-06 14:50:00+08:00,[0.00455361],"[[0.00600849]
 [0.00568209]
 [0.00455361]]",,0.9992355592796115,1.0
0,2020-03-09 14:50:00+08:00,[0.0010754],"[[0.00444889]
 [0.00300864]
 [0.0010754 ]]",,0,0.0
0,2020-03-10 14:50:00+08:00,[-0.0009503],"[[ 0.00214793]
 [ 0.00050875]
 [-0.0009503 ]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[-0.00258692],"[[-0.00348159]
 [-0.00370133]
 [-0.00258692]]",,0.0,-1.0
0,2020-03-12 14:50:00+08:00,[0.00380992],"[[-0.00563578]
 [-0.00130136]
 [ 0.00380992]]",,0,0.0
0,2020-03-13 14:50:00+08:00,[0.01011645],"[[0.00223324]
 [0.00556766]
 [0.01011645]]",,0.9992355592796115,1.0
0,2020-03-16 14:50:00+08:00,[0.00528931],"[[-0.00257326]
 [ 0.00396374]
 [ 0.00528931]]",,0,0.0
0,2020-03-17 14:50:00+08:00,[0.00126385],"[[-0.00173765]
 [ 0.00103225]
 [ 0.00126385]]",,0,0.0
0,2020-03-18 14:50:00+08:00,[0.0072513],"[[0.00516   ]
 [0.00673806]
 [0.0072513 ]]",,0.9992355592796115,1.0
0,2020-03-19 14:50:00+08:00,[0.01390395],"[[-0.02190716]
 [-0.00459132]
 [ 0.01390395]]",,0,0.0
0,2020-03-20 14:50:00+08:00,[0.00791298],"[[0.00811425]
 [0.00820583]
 [0.00791298]]",,0.9992355592796115,1.0
0,2020-03-23 14:50:00+08:00,[0.00795189],"[[0.00549848]
 [0.00690027]
 [0.00795189]]",,0.9992355592796115,1.0
0,2020-03-24 14:50:00+08:00,[0.00874631],"[[-0.00461004]
 [ 0.00785084]
 [ 0.00874631]]",,0,0.0
0,2020-03-25 14:50:00+08:00,[0.007584],"[[0.00880242]
 [0.00802749]
 [0.007584  ]]",,0.9992355592796115,1.0
0,2020-03-26 14:50:00+08:00,[0.00594002],"[[0.00708106]
 [0.00634986]
 [0.00594002]]",,0.9992355592796115,1.0
0,2020-03-27 14:50:00+08:00,[0.00433988],"[[0.00696098]
 [0.00570462]
 [0.00433988]]",,0.9992355592796115,1.0
