,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2019-02-28 14:50:00+08:00,[0.01258536],"[[0.01909961]
 [0.01677217]
 [0.01258536]]",,0.9991097813690648,1.0
0,2019-03-01 14:50:00+08:00,[-0.00236461],"[[ 0.0011801 ]
 [-0.00190626]
 [-0.00236461]]",,0.0,0.0
0,2019-03-04 14:50:00+08:00,[0.00775216],"[[0.00838646]
 [0.00794067]
 [0.00775216]]",,0.9991097813690648,1.0
0,2019-03-05 14:50:00+08:00,[0.00466821],"[[0.00602496]
 [0.00422786]
 [0.00466821]]",,0.9991097813690648,1.0
0,2019-03-06 14:50:00+08:00,[0.0079092],"[[0.00671272]
 [0.00781011]
 [0.0079092 ]]",,0.9991097813690648,1.0
0,2019-03-07 14:50:00+08:00,[0.00938461],"[[0.00941285]
 [0.00935267]
 [0.00938461]]",,0.9991097813690648,1.0
0,2019-03-08 14:50:00+08:00,[0.00770619],"[[0.00775282]
 [0.00762794]
 [0.00770619]]",,0.9991097813690648,1.0
0,2019-03-11 14:50:00+08:00,[-0.00015161],"[[-0.00346978]
 [-0.00208475]
 [-0.00015161]]",,0.0,0.0
0,2019-03-12 14:50:00+08:00,[-0.00503094],"[[-0.00286902]
 [-0.00338521]
 [-0.00503094]]",,0.0,-1.0
0,2019-03-13 14:50:00+08:00,[-0.00182033],"[[-0.00307014]
 [-0.00253088]
 [-0.00182033]]",,0.0,0.0
0,2019-03-14 14:50:00+08:00,[-0.00287635],"[[-0.00251493]
 [-0.00324726]
 [-0.00287635]]",,0.0,-1.0
0,2019-03-15 14:50:00+08:00,[-0.00024467],"[[ 2.6910380e-04]
 [ 5.5177137e-05]
 [-2.4466775e-04]]",,0.0,0.0
0,2019-03-18 14:50:00+08:00,[-0.00525223],"[[-0.00260914]
 [-0.00542421]
 [-0.00525223]]",,0.0,-1.0
0,2019-03-19 14:50:00+08:00,[0.00540642],"[[0.0050378 ]
 [0.00565354]
 [0.00540642]]",,0.9991097813690648,1.0
0,2019-03-20 14:50:00+08:00,[0.00552851],"[[0.00573866]
 [0.00517605]
 [0.00552851]]",,0.9991097813690648,1.0
0,2019-03-21 14:50:00+08:00,[0.00328352],"[[0.00819207]
 [0.00738597]
 [0.00328352]]",,0.9991097813690648,1.0
0,2019-03-22 14:50:00+08:00,[0.00097314],"[[0.00167851]
 [0.00157899]
 [0.00097314]]",,0.0,0.0
0,2019-03-25 14:50:00+08:00,[-0.00579767],"[[-0.00328343]
 [-0.00574407]
 [-0.00579767]]",,0.0,-1.0
0,2019-03-26 14:50:00+08:00,[-0.000461],"[[-0.00472124]
 [-0.00384376]
 [-0.000461  ]]",,0.0,0.0
0,2019-03-27 14:50:00+08:00,[0.00231927],"[[-0.00638456]
 [-0.00237563]
 [ 0.00231927]]",,0.0,0.0
0,2019-03-28 14:50:00+08:00,[0.00490121],"[[-0.00311709]
 [ 0.00160769]
 [ 0.00490121]]",,0.0,0.0
0,2019-03-29 14:50:00+08:00,[-8.3124265e-05],"[[-2.8397571e-03]
 [ 3.5354123e-04]
 [-8.3124265e-05]]",,0.0,0.0
0,2019-04-01 14:50:00+08:00,[-0.00648521],"[[ 0.00295421]
 [-0.00548061]
 [-0.00648521]]",,0.0,0.0
0,2019-04-02 14:50:00+08:00,[-0.00464768],"[[ 0.00582427]
 [-0.00014789]
 [-0.00464768]]",,0.0,0.0
0,2019-04-03 14:50:00+08:00,[0.00393029],"[[0.0047675 ]
 [0.00483817]
 [0.00393029]]",,0.9991097813690648,1.0
