,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-03-02 14:50:00+08:00,[-0.00314804],"[[-0.00296336]
 [-0.00303751]
 [-0.00314804]]",,0.0,-1.0
0,2020-03-03 14:50:00+08:00,[-0.0019098],"[[-0.00228979]
 [-0.00234307]
 [-0.0019098 ]]",,0.0,0.0
0,2020-03-04 14:50:00+08:00,[-0.00071452],"[[-0.00275499]
 [-0.00131112]
 [-0.00071452]]",,0.0,0.0
0,2020-03-05 14:50:00+08:00,[0.00210127],"[[0.0013655 ]
 [0.00215899]
 [0.00210127]]",,0.0,0.0
0,2020-03-06 14:50:00+08:00,[0.00365242],"[[0.0061578 ]
 [0.00517718]
 [0.00365242]]",,0.9992355592796115,1.0
0,2020-03-09 14:50:00+08:00,[0.0032543],"[[0.00559456]
 [0.00468111]
 [0.0032543 ]]",,0.9992355592796115,1.0
0,2020-03-10 14:50:00+08:00,[-0.00299094],"[[-0.00136317]
 [-0.00202583]
 [-0.00299094]]",,0.0,0.0
0,2020-03-11 14:50:00+08:00,[-0.00878942],"[[-0.00489761]
 [-0.00746303]
 [-0.00878942]]",,0.0,-1.0
0,2020-03-12 14:50:00+08:00,[-0.01171503],"[[-0.00870003]
 [-0.01089929]
 [-0.01171503]]",,0.0,-1.0
0,2020-03-13 14:50:00+08:00,[-0.00653508],"[[-0.00524255]
 [-0.00596506]
 [-0.00653508]]",,0.0,-1.0
0,2020-03-16 14:50:00+08:00,[-0.01172834],"[[-0.00986738]
 [-0.01094842]
 [-0.01172834]]",,0.0,-1.0
0,2020-03-17 14:50:00+08:00,[-0.01641851],"[[-0.01295554]
 [-0.01457362]
 [-0.01641851]]",,0.0,-1.0
0,2020-03-18 14:50:00+08:00,[-0.02181946],"[[-0.02160502]
 [-0.02236108]
 [-0.02181946]]",,0.0,-1.0
0,2020-03-19 14:50:00+08:00,[-0.02363026],"[[-0.02223377]
 [-0.02342108]
 [-0.02363026]]",,0.0,-1.0
