,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-03-02 14:50:00+08:00,[-0.00097225],"[[-0.00022003]
 [-0.00065649]
 [-0.00097225]]",,0,0.0
0,2020-03-03 14:50:00+08:00,[0.00397653],"[[0.00410994]
 [0.00392468]
 [0.00397653]]",,0.9992355592796115,1.0
0,2020-03-04 14:50:00+08:00,[-0.00203929],"[[-0.00224736]
 [-0.00218936]
 [-0.00203929]]",,0.0,-1.0
0,2020-03-05 14:50:00+08:00,[-1.809746e-05],"[[-1.5139952e-04]
 [-1.8548220e-05]
 [-1.8097460e-05]]",,0,0.0
0,2020-03-06 14:50:00+08:00,[-0.00036867],"[[-0.00025536]
 [-0.00028012]
 [-0.00036867]]",,0,0.0
0,2020-03-09 14:50:00+08:00,[0.0003183],"[[0.00053273]
 [0.00048174]
 [0.0003183 ]]",,0,0.0
0,2020-03-10 14:50:00+08:00,[-0.00013772],"[[ 0.00027144]
 [ 0.0001283 ]
 [-0.00013772]]",,0,0.0
0,2020-03-11 14:50:00+08:00,[-0.00046852],"[[ 4.7992915e-05]
 [-2.7131662e-04]
 [-4.6852231e-04]]",,0,0.0
0,2020-03-12 14:50:00+08:00,[0.0011626],"[[0.00119929]
 [0.00105407]
 [0.0011626 ]]",,0,0.0
0,2020-03-13 14:50:00+08:00,[-0.00249006],"[[-0.00313906]
 [-0.00295164]
 [-0.00249006]]",,0.0,-1.0
0,2020-03-16 14:50:00+08:00,[-0.0013711],"[[-0.00225845]
 [-0.00186162]
 [-0.0013711 ]]",,0,0.0
0,2020-03-17 14:50:00+08:00,[-0.00054304],"[[-0.0016406 ]
 [-0.00124987]
 [-0.00054304]]",,0,0.0
0,2020-03-18 14:50:00+08:00,[-0.00238575],"[[-0.00477774]
 [-0.00374037]
 [-0.00238575]]",,0.0,-1.0
0,2020-03-19 14:50:00+08:00,[-0.00378411],"[[-0.00699962]
 [-0.00566097]
 [-0.00378411]]",,0.0,-1.0
0,2020-03-20 14:50:00+08:00,[-0.00407306],"[[-0.00801419]
 [-0.00630667]
 [-0.00407306]]",,0.0,-1.0
0,2020-03-23 14:50:00+08:00,[-0.00103007],"[[-0.00570481]
 [-0.00357855]
 [-0.00103007]]",,0,0.0
0,2020-03-24 14:50:00+08:00,[0.00062524],"[[-0.00592887]
 [-0.00281906]
 [ 0.00062524]]",,0,0.0
0,2020-03-25 14:50:00+08:00,[0.00742135],"[[0.00242039]
 [0.00501764]
 [0.00742135]]",,0.9992355592796115,1.0
0,2020-03-26 14:50:00+08:00,[0.00812368],"[[0.00292226]
 [0.00567423]
 [0.00812368]]",,0.9992355592796115,1.0
0,2020-03-27 14:50:00+08:00,[0.01592691],"[[0.00926461]
 [0.01270129]
 [0.01592691]]",,0.9992355592796115,1.0
0,2020-03-30 14:50:00+08:00,[0.01209514],"[[0.00983138]
 [0.01127621]
 [0.01209514]]",,0.9992355592796115,1.0
0,2020-03-31 14:50:00+08:00,[0.00917333],"[[0.00887445]
 [0.00927715]
 [0.00917333]]",,0.9992355592796115,1.0
0,2020-04-01 14:50:00+08:00,[0.01092108],"[[0.0101425 ]
 [0.01072232]
 [0.01092108]]",,0.9992355592796115,1.0
